Green,bald,Deagle,Aardwolf,aardvark
Red,beautiful,P90,African buffalo,air
Yellow,chubby,Fighter Jet,African elephant,airplane
Orange,clean,Tank,African leopard,airport
Black,dazzling,Sword,Albatross,alarm
White,drab,Hammer,Alligator,alligator
Brown,elegant,Club,Alpaca,alphabet
Pink,fancy,Axe,Alpaca,ambulance
Silver,fit,Crossbow,American buffalo (bison),animal
Grey,flabby,Spear,American robin,ankle
Navy Blue ,glamorous,Pistol,Amphibian,army
Gold,gorgeous,Rifle,Anaconda,answer
Cyan,handsome,Helicopter,Angelfish,ant
Olive,long,Missle,Anglerfish,antelope
Blue,attractive,AK47,Aardvark,apple
Maroon,magnificent,Rocket,Ant,arm
Purple,muscular,Dagger,Anteater,armchair
Deep Pink,plain,Staff,Antelope,arrow
Salmon,plump,Tank,Antlion,asparagus
,quaint,Grenade,Ape,baby
,scruffy,Bomb,Aphid,back
,shapely,Spikes,Arabian leopard,backbone
,short,Knife,Arctic Fox,bacon
,skinny,Bullet,Arctic Wolf,badge
,stocky,,Armadillo,badger
,ugly,,Arrow crab,bag
,unkempt,,Asp,bagpipe
,unsightly,,Ass (donkey),bait
,alive,,Baboon,bakery
,better,,Badger,ball
,careful,,Bald eagle,balloon
,clever,,Bali cattle,bamboo
,dead,,Bandicoot,banana
,easy,,Barnacle,band
,famous,,Barracuda,bandana
,gifted,,Basilisk,bangle
,hallowed,,Bass,banjo
,helpful,,Bat,bank
,important,,Beaked whale,baseball
,inexpensive,,Bear,basket
,mealy,,Beaver,basketball
,mushy,,Bedbug,bat
,odd,,Bee,bath
,poor,,Beetle,bathroom
,powerful,,Bird,bathtub
,rich,,Bison,battery
,shy,,Black panther,battle
,tender,,Black widow spider,bay
,unimportant,,Blackbird,beach
,uninterested,,Blue bird,bead
,vast,,Blue jay,bean
,wrong,,Blue whale,bear
,,,Boa,beard
,,,Boar,beast
,,,Bobcat,beat
,,,Bobolink,beauty
,,,Bonobo,beaver
,,,Booby,bed
,,,Bovid,bedroom
,,,Box jellyfish,bee
,,,"Buffalo, African",beef
,,,"Buffalo, American (bison)",beetle
,,,Bug,bell
,,,Butterfly,belt
,,,Buzzard,bench
,,,Camel,beret
,,,Canid,berry
,,,Canidae,bicycle
,,,Cape buffalo,bike
,,,Capybara,bird
,,,Cardinal,birthday
,,,Caribou,bite
,,,Carp,black
,,,Cat,blade
